,old_id,binNumber,WCNedgeNumber,WCNedgeWord,WCN Confidence Score,level,position,word,lemma,pre_verb,morph,wordlenth,endposition,OriginalCSV
0,0,1,0,tataH,1,1,0,tataḥ,tatas,,adv.,5,5,shr_new_nbest/new_2/305.csv
1,1,1,0,tataH,1,1,0,tataḥ,tad,,tasil,5,5,shr_new_nbest/new_2/305.csv
2,16,1,0,tataH,1,2,0,tataḥ,tata,,m. sg. nom.,5,5,shr_new_nbest/new_2/305.csv
3,34,1,0,tataH,1,3,0,tataḥ,tata,,m. sg. nom.,5,5,shr_new_nbest/new_2/305.csv
4,2,3,0,viSvAmitraH,1,1,0,viśvāmitraḥ,viśvāmitra,,m. sg. nom.,11,11,shr_new_nbest/new_2/305.csv
5,17,3,0,viSvAmitraH,1,2,0,viśva,viśva,,iic.,5,5,shr_new_nbest/new_2/305.csv
6,18,3,0,viSvAmitraH,1,2,5,mitraḥ,mitra,,m. sg. nom.,6,11,shr_new_nbest/new_2/305.csv
7,35,3,0,viSvAmitraH,1,3,0,viśvā,viśvā,,iic.,5,5,shr_new_nbest/new_2/305.csv
8,36,3,0,viSvAmitraH,1,3,7,traḥ,tra,,m. sg. nom.,4,11,shr_new_nbest/new_2/305.csv
9,46,3,0,viSvAmitraH,1,4,0,viśvā,viśva,,f. sg. nom.,5,5,shr_new_nbest/new_2/305.csv
10,52,3,0,viSvAmitraH,1,5,0,viś,viś,,iic.,3,3,shr_new_nbest/new_2/305.csv
11,53,3,0,viSvAmitraH,1,5,3,vāmi,vāmin,,iic.,4,7,shr_new_nbest/new_2/305.csv
12,54,3,0,viSvAmitraH,1,5,3,vāmi,vāma,,iic.,4,7,shr_new_nbest/new_2/305.csv
13,58,3,0,viSvAmitraH,1,6,4,amitraḥ,amitra,,m. sg. nom.,7,11,shr_new_nbest/new_2/305.csv
14,62,3,0,viSvAmitraH,1,7,4,āmitraḥ,āmitra,,m. sg. nom.,7,11,shr_new_nbest/new_2/305.csv
15,64,3,0,viSvAmitraH,1,8,4,a,a,,iic.,1,5,shr_new_nbest/new_2/305.csv
16,3,6,1,krAmalakzmaRO,1.400828999999999999999999999E-27,1,0,krāma,kram,,imp. [1] ac. sg. 2,5,5,shr_new_nbest/new_2/311.csv
17,4,6,1,krAmalakzmaRO,1.400828999999999999999999999E-27,1,5,lakṣmaṇau,lakṣmaṇa,,m. du. acc.,9,13,shr_new_nbest/new_2/311.csv
18,5,6,1,krAmalakzmaRO,1.400828999999999999999999999E-27,1,5,lakṣmaṇau,lakṣmaṇa,,m. du. nom.,9,13,shr_new_nbest/new_2/311.csv
19,19,6,1,krAmalakzmaRO,1.400828999999999999999999999E-27,2,5,lakṣmaṇau,lakṣmaṇa,,m. du. voc.,9,13,shr_new_nbest/new_2/311.csv
20,3,7,1,rAmalakzmaRO,0.9917355371900826449559456321,1,0,rāma,rāma,,iic.,4,4,shr_new_nbest/new_2/305.csv
21,4,7,1,rAmalakzmaRO,0.9917355371900826449559456321,1,4,lakṣmaṇau,lakṣmaṇa,,m. du. acc.,9,12,shr_new_nbest/new_2/305.csv
22,5,7,1,rAmalakzmaRO,0.9917355371900826449559456321,1,4,lakṣmaṇau,lakṣmaṇa,,m. du. nom.,9,12,shr_new_nbest/new_2/305.csv
23,19,7,1,rAmalakzmaRO,0.9917355371900826449559456321,2,0,rāma,rā,,imp. [2] ac. pl. 1,4,4,shr_new_nbest/new_2/305.csv
24,20,7,1,rAmalakzmaRO,0.9917355371900826449559456321,2,4,lakṣmaṇau,lakṣmaṇa,,m. du. voc.,9,12,shr_new_nbest/new_2/305.csv
25,6,9,0,prakftiramaRIyam,0.9999999999999999993757826800,1,0,prakṛtiḥ,prakṛti,,f. sg. nom.,8,8,shr_new_nbest/new_2/305.csv
26,7,9,0,prakftiramaRIyam,0.9999999999999999993757826800,1,8,a,a,,iic.,1,9,shr_new_nbest/new_2/305.csv
27,8,9,0,prakftiramaRIyam,0.9999999999999999993757826800,1,9,maṇī,maṇi,,m. du. acc.,4,13,shr_new_nbest/new_2/305.csv
28,9,9,0,prakftiramaRIyam,0.9999999999999999993757826800,1,9,maṇī,maṇi,,m. du. nom.,4,13,shr_new_nbest/new_2/305.csv
29,10,9,0,prakftiramaRIyam,0.9999999999999999993757826800,1,13,yam,ya,,n. sg. acc.,3,16,shr_new_nbest/new_2/305.csv
30,11,9,0,prakftiramaRIyam,0.9999999999999999993757826800,1,13,yam,ya,,n. sg. nom.,3,16,shr_new_nbest/new_2/305.csv
31,21,9,0,prakftiramaRIyam,0.9999999999999999993757826800,2,0,prakṛti,prakṛti,,iic.,7,7,shr_new_nbest/new_2/305.csv
32,22,9,0,prakftiramaRIyam,0.9999999999999999993757826800,2,7,ramaṇīyam,ramaṇīya,,n. sg. acc.,9,16,shr_new_nbest/new_2/305.csv
33,23,9,0,prakftiramaRIyam,0.9999999999999999993757826800,2,7,ramaṇīyam,ramaṇīya,,n. sg. nom.,9,16,shr_new_nbest/new_2/305.csv
34,24,9,0,prakftiramaRIyam,0.9999999999999999993757826800,2,7,ramaṇīyam,ramaṇīya,,m. sg. acc.,9,16,shr_new_nbest/new_2/305.csv
35,25,9,0,prakftiramaRIyam,0.9999999999999999993757826800,2,7,ramaṇīyam,ramaṇīya,,n. sg. acc.,9,16,shr_new_nbest/new_2/305.csv
36,26,9,0,prakftiramaRIyam,0.9999999999999999993757826800,2,7,ramaṇīyam,ramaṇīya,,n. sg. nom.,9,16,shr_new_nbest/new_2/305.csv
37,27,9,0,prakftiramaRIyam,0.9999999999999999993757826800,2,7,ramaṇīyam,ramaṇīya,,m. sg. acc.,9,16,shr_new_nbest/new_2/305.csv
38,37,9,0,prakftiramaRIyam,0.9999999999999999993757826800,3,7,ramaṇī,ramaṇī,,iic.,6,13,shr_new_nbest/new_2/305.csv
39,38,9,0,prakftiramaRIyam,0.9999999999999999993757826800,3,7,ramaṇī,ramaṇa,,iic.,6,13,shr_new_nbest/new_2/305.csv
40,39,9,0,prakftiramaRIyam,0.9999999999999999993757826800,3,13,yam,yad,,m. sg. acc.,3,16,shr_new_nbest/new_2/305.csv
41,47,9,0,prakftiramaRIyam,0.9999999999999999993757826800,4,7,ramaṇī,ramaṇī,,f. sg. nom.,6,13,shr_new_nbest/new_2/305.csv
42,48,9,0,prakftiramaRIyam,0.9999999999999999993757826800,4,7,ramaṇī,ramaṇa,,f. sg. nom.,6,13,shr_new_nbest/new_2/305.csv
43,55,9,0,prakftiramaRIyam,0.9999999999999999993757826800,5,12,iyam,idam,,f. sg. nom.,4,16,shr_new_nbest/new_2/305.csv
44,6,9,1,prakftirramaRIyam,5.636251999999999996481753882E-19,1,0,prakṛtirramaṇīyam,prakṛtirramaṇīyam,,?,17,17,shr_new_nbest/new_2/306.csv
45,6,9,2,prakftir,6.059211999999999996217734924E-20,1,0,prakṛtiḥ,prakṛtir,,?,8,8,shr_new_nbest/new_2/307.csv
46,6,9,3,prakfti,3.129063634733199998046784284E-56,1,0,prakṛti,prakṛti,,?,7,7,shr_new_nbest/new_2/312.csv
47,7,11,1,ramaRIyam,0.9917355371900826449559456321,1,0,ramaṇīyam,ramaṇīya,,n. sg. acc.,9,9,shr_new_nbest/new_2/307.csv
48,8,11,1,ramaRIyam,0.9917355371900826449559456321,1,0,ramaṇīyam,ramaṇīya,,n. sg. nom.,9,9,shr_new_nbest/new_2/307.csv
49,9,11,1,ramaRIyam,0.9917355371900826449559456321,1,0,ramaṇīyam,ramaṇīya,,m. sg. acc.,9,9,shr_new_nbest/new_2/307.csv
50,10,11,1,ramaRIyam,0.9917355371900826449559456321,1,0,ramaṇīyam,ramaṇīya,,n. sg. acc.,9,9,shr_new_nbest/new_2/307.csv
51,11,11,1,ramaRIyam,0.9917355371900826449559456321,1,0,ramaṇīyam,ramaṇīya,,n. sg. nom.,9,9,shr_new_nbest/new_2/307.csv
52,12,11,1,ramaRIyam,0.9917355371900826449559456321,1,0,ramaṇīyam,ramaṇīya,,m. sg. acc.,9,9,shr_new_nbest/new_2/307.csv
53,22,11,1,ramaRIyam,0.9917355371900826449559456321,2,0,ramaṇī,ramaṇī,,iic.,6,6,shr_new_nbest/new_2/307.csv
54,23,11,1,ramaRIyam,0.9917355371900826449559456321,2,0,ramaṇī,ramaṇa,,iic.,6,6,shr_new_nbest/new_2/307.csv
55,24,11,1,ramaRIyam,0.9917355371900826449559456321,2,6,yam,ya,,n. sg. acc.,3,9,shr_new_nbest/new_2/307.csv
56,25,11,1,ramaRIyam,0.9917355371900826449559456321,2,6,yam,ya,,n. sg. nom.,3,9,shr_new_nbest/new_2/307.csv
57,35,11,1,ramaRIyam,0.9917355371900826449559456321,3,0,ramaṇī,ramaṇī,,f. sg. nom.,6,6,shr_new_nbest/new_2/307.csv
58,36,11,1,ramaRIyam,0.9917355371900826449559456321,3,0,ramaṇī,ramaṇa,,f. sg. nom.,6,6,shr_new_nbest/new_2/307.csv
59,37,11,1,ramaRIyam,0.9917355371900826449559456321,3,6,yam,yad,,m. sg. acc.,3,9,shr_new_nbest/new_2/307.csv
60,45,11,1,ramaRIyam,0.9917355371900826449559456321,4,5,iyam,idam,,f. sg. nom.,4,9,shr_new_nbest/new_2/307.csv
61,12,13,1,sidDASramam,0.9917355371900826449559456321,1,0,siddhā,siddha,,f. sg. nom.,6,5,shr_new_nbest/new_2/305.csv
62,13,13,1,sidDASramam,0.9917355371900826449559456321,1,0,siddhā,siddha,,f. sg. nom.,6,5,shr_new_nbest/new_2/305.csv
63,14,13,1,sidDASramam,0.9917355371900826449559456321,1,5,śramam,śrama,,m. sg. acc.,6,11,shr_new_nbest/new_2/305.csv
64,28,13,1,sidDASramam,0.9917355371900826449559456321,2,0,siddha,siddha,,iic.,6,5,shr_new_nbest/new_2/305.csv
65,29,13,1,sidDASramam,0.9917355371900826449559456321,2,0,siddha,siddha,,iic.,6,5,shr_new_nbest/new_2/305.csv
66,30,13,1,sidDASramam,0.9917355371900826449559456321,2,5,śramam,śram,,inj. [2] ac. sg. 1,6,11,shr_new_nbest/new_2/305.csv
67,40,13,1,sidDASramam,0.9917355371900826449559456321,3,4,āśramam,āśrama,,m. sg. acc.,7,11,shr_new_nbest/new_2/305.csv
68,41,13,1,sidDASramam,0.9917355371900826449559456321,3,4,āśramam,āśrama,,n. sg. acc.,7,11,shr_new_nbest/new_2/305.csv
