word;lemma;morphology
arogy\u0101;arogya;30
\u0101di;\u0101di;31
\u0101yu\u1e25;\u0101-y\u0101;-49
kam;kim;69
r\u0101;r\u0101;30
samedhe;sam-edh;-151
asu\u1e25;asu;30
\u0101ma;\u0101ma;3
yanta\u1e25;yat;59
k\u0101me;k\u0101ma;75
a;a;3
sarve;sarva;39
api;api;2
tat;tad;31
kart\u0101ra\u1e25;k\u1e5b;-79
sv\u012b;sva;3
\u0101j\u0101nam;\u0101j\u0101na;31
n\u1e5b;nara;3
\u015bi\u015b\u016b;\u015bi\u015bu;74
ca;ca;2
\u015bi\u015b\u016b;\u015bi\u015bu;74
\u016bn\u0101m;\u016bna;70
\u0101\u015b\u012brbhi\u1e25;\u0101\u015bis;100
