,old_id,binNumber,WCNedgeNumber,WCNedgeWord,WCN Confidence Score,level,position,word,lemma,pre_verb,morph,wordlenth,endposition,OriginalCSV
0,0,1,0,gaNgA,1,1,0,gaṅgā,gaṅgā,,f. sg. nom.,5,5,shr_new_nbest/new_3/1292.csv
1,1,3,1,tu,0.9977375565610859727676091808,1,0,tu,tu,,conj.,2,2,shr_new_nbest/new_3/1292.csv
2,2,5,0,vegAt,1,1,0,vegāt,vega,,m. sg. abl.,5,5,shr_new_nbest/new_3/1292.csv
3,14,5,0,vegAt,1,2,0,vega,vega,,iic.,4,4,shr_new_nbest/new_3/1292.csv
4,19,5,0,vegAt,1,3,3,at,ad,,m. sg. nom.,2,5,shr_new_nbest/new_3/1292.csv
5,20,5,0,vegAt,1,3,3,at,ad,,n. sg. acc.,2,5,shr_new_nbest/new_3/1292.csv
6,21,5,0,vegAt,1,3,3,at,ad,,n. sg. nom.,2,5,shr_new_nbest/new_3/1292.csv
7,22,5,0,vegAt,1,3,3,at,ad,,f. sg. nom.,2,5,shr_new_nbest/new_3/1292.csv
8,25,5,0,vegAt,1,4,3,at,ad,,m. sg. voc.,2,5,shr_new_nbest/new_3/1292.csv
9,26,5,0,vegAt,1,4,3,at,ad,,n. sg. voc.,2,5,shr_new_nbest/new_3/1292.csv
10,27,5,0,vegAt,1,4,3,at,ad,,f. sg. voc.,2,5,shr_new_nbest/new_3/1292.csv
11,3,9,1,sTagitumaSaktA,0.9974432033584308046875379960,1,0,sthagitum,sthag,,inf.,9,8,shr_new_nbest/new_3/1292.csv
12,4,9,1,sTagitumaSaktA,0.9974432033584308046875379960,1,8,a,a,,iic.,1,9,shr_new_nbest/new_3/1292.csv
13,5,9,1,sTagitumaSaktA,0.9974432033584308046875379960,1,9,śaktā,śakta,,f. sg. nom.,5,14,shr_new_nbest/new_3/1292.csv
14,3,9,2,sTagitum,0.0002935778897908475000410622661,1,0,sthagitum,sthag,,inf.,9,8,shr_new_nbest/new_3/1296.csv
15,3,9,3,sTagitu,3.637824004463895622728981321E-15,1,0,sthagitu,sthagitu,,?,8,7,shr_new_nbest/new_3/1297.csv
16,1,11,1,tu,0.0002853592705898791313086900289,1,0,tu,tu,,conj.,2,2,shr_new_nbest/new_3/1292.csv
17,4,12,1,na,7.816823E-33,1,0,na,na,,ind.,2,2,shr_new_nbest/new_3/1297.csv
18,5,13,0,SaktA,0.9996811452170833113071587006,1,0,śaktā,śak,,per. fut. ac. sg. 3,5,5,shr_new_nbest/new_3/1297.csv
19,15,13,0,SaktA,0.9996811452170833113071587006,2,0,śaktā,śakta,,f. sg. nom.,5,5,shr_new_nbest/new_3/1297.csv
20,4,13,1,aSaktA,0.0002941427838808607114159587279,1,0,a,a,,iic.,1,1,shr_new_nbest/new_3/1296.csv
21,5,13,1,aSaktA,0.0002941427838808607114159587279,1,1,śaktā,śakta,,f. sg. nom.,5,6,shr_new_nbest/new_3/1296.csv
22,4,13,3,na,3.644575821303542791601731562E-15,1,0,na,na,,ind.,2,2,shr_new_nbest/new_3/1297.csv
23,1,13,4,tu,1.047294810791079992025748984E-18,1,0,tu,tu,,conj.,2,2,shr_new_nbest/new_3/1292.csv
24,4,14,1,na,2.752985999999999999999916772E-23,1,0,na,na,,ind.,2,2,shr_new_nbest/new_3/1297.csv
25,4,14,2,aSaktA,2.701922260871699999999918315E-24,1,0,a,a,,iic.,1,1,shr_new_nbest/new_3/1296.csv
26,5,14,2,aSaktA,2.701922260871699999999918315E-24,1,1,śaktā,śakta,,f. sg. nom.,5,6,shr_new_nbest/new_3/1296.csv
27,5,15,0,SaktA,0.9999994832702800423402053933,1,0,śaktā,śak,,per. fut. ac. sg. 3,5,5,shr_new_nbest/new_3/1297.csv
28,15,15,0,SaktA,0.9999994832702800423402053933,2,0,śaktā,śakta,,f. sg. nom.,5,5,shr_new_nbest/new_3/1297.csv
29,1,15,1,tu,5.167296768461075662891647528E-7,1,0,tu,tu,,conj.,2,2,shr_new_nbest/new_3/1292.csv
