,id,level,color_class,position,chunk_no,word,lemma,pre_verb,morph,colspan,wordlenth,aux_inf,subminp,maxp,endposition
0,0,1,yellow_back,0,1,gaṅga,gaṅga,,iic.,5,5,,0,5,5
1,1,1,cyan_back,5,1,pi,pā,,m. sg. loc.,2,2, sence of lemma = 3,5,7,7
2,2,1,cyan_back,5,1,pi,pā,,m. sg. loc.,2,2, sence of lemma = 4,5,7,7
3,3,1,deep_sky_back,8,2,devānām,deva,,m. pl. g.,7,7,,0,7,15
4,4,1,deep_sky_back,8,2,devānām,deva,,n. pl. g.,7,7,,0,7,15
5,5,1,deep_sky_back,16,3,prārthanām,prārthanā,,f. sg. acc.,9,10,,0,9,25
6,6,1,yellow_back,26,4,aṅgi,aṅgin,,iic.,4,4,,0,4,30
7,7,1,deep_sky_back,30,4,kṛtavatī,kṛtavat,,f. sg. nom.,8,8,{ ppa. }[kṛ_1,4,12,38
8,8,1,deep_sky_back,30,4,kṛtavatī,kṛtavat,,n. du. acc.,8,8,{ ppa. }[kṛ_1,4,12,38
9,9,1,deep_sky_back,30,4,kṛtavatī,kṛtavat,,n. du. nom.,8,8,{ ppa. }[kṛ_1,4,12,38
10,10,2,yellow_back,0,1,gaṅgā,gaṅgā,,iic.,5,5,,0,5,5
11,11,2,yellow_back,8,2,deva,deva,,iic.,4,4,,0,4,12
12,12,2,deep_sky_back,26,4,aṅgi,aṅgin,,n. sg. acc.,4,4,,0,4,30
13,13,2,deep_sky_back,26,4,aṅgi,aṅgin,,n. sg. nom.,4,4,,0,4,30
14,14,2,lawngreen_back,30,4,kṛtavatī,kṛtavat,,n. du. voc.,8,8,{ ppa. }[kṛ_1,4,12,38
15,15,3,deep_sky_back,0,1,gaṅgā,gaṅgā,,f. sg. nom.,5,5,,0,5,5
16,16,3,deep_sky_back,8,2,devā,devṛ,,m. sg. nom.,4,4,,0,4,12
17,17,4,deep_sky_back,4,1,āpi,āpī,,n. sg. acc.,3,3,,4,7,7
18,18,4,deep_sky_back,4,1,āpi,āpī,,n. sg. nom.,3,3,,4,7,7
19,19,4,deep_sky_back,11,2,ānām,āna,,f. sg. acc.,4,4,,3,7,15
20,20,5,lawngreen_back,4,1,āpi,āpī,,m. sg. voc.,3,3,,4,7,7
21,21,5,lawngreen_back,4,1,āpi,āpī,,n. sg. voc.,3,3,,4,7,7
22,22,5,lawngreen_back,4,1,āpi,āpī,,f. sg. voc.,3,3,,4,7,7
23,23,6,mauve_back,4,1,api,api,,conj.,3,3,,4,7,7
24,24,6,mauve_back,4,1,api,api,,prep.,3,3,,4,7,7
